130,455,230,455,230,470,130,470,1.0000
94,365,190,365,190,381,94,381,1.0000
272,390,352,390,352,405,272,405,1.0000
90,189,180,189,180,204,90,204,1.0000
136,220,200,220,200,236,136,236,1.0000
164,293,236,293,236,309,164,309,1.0000
86,121,208,121,208,158,86,158,0.9999
598,205,664,205,664,220,598,220,0.9999
82,81,192,81,192,121,82,121,0.9999
92,262,152,262,152,281,92,281,0.9999
98,519,162,519,162,535,98,535,0.9999
210,129,322,129,322,167,210,167,0.9999
236,614,292,614,292,706,236,706,0.9956
266,102,364,102,364,135,266,135,0.9916
