296,126,418,126,418,140,296,140,1.0000
50,73,146,73,146,94,50,94,1.0000
304,59,404,59,404,87,304,87,1.0000
62,117,174,117,174,133,62,133,1.0000
800,205,876,205,876,228,800,228,1.0000
114,47,192,47,192,72,114,72,0.9999
44,41,106,41,106,69,44,69,0.9999
126,120,214,120,214,136,126,136,0.9998
-10,69,46,69,46,88,-10,88,0.9990
-8,40,36,40,36,72,-8,72,0.9980
-2,117,82,117,82,131,-2,131,0.9978
34,99,96,99,96,113,34,113,0.9967
204,111,270,111,270,127,204,127,0.9810
626,148,682,148,682,169,626,169,0.7692
