706,232,762,232,762,247,706,247,1.0000
318,266,390,266,390,281,318,281,1.0000
508,43,564,43,564,65,508,65,1.0000
664,1,716,1,716,14,664,14,1.0000
686,137,766,137,766,149,686,149,0.9999
544,270,594,270,594,291,544,291,0.9999
524,180,576,180,576,201,524,201,0.9999
734,451,816,451,816,464,734,464,0.9999
624,553,656,553,656,600,624,600,0.9999
704,327,762,327,762,342,704,342,0.9997
226,132,444,132,444,213,226,213,0.9997
256,498,284,498,284,562,256,562,0.9996
374,597,414,597,414,680,374,680,0.9993
72,120,102,120,102,219,72,219,0.9992
354,408,382,408,382,465,354,465,0.9990
70,-15,96,-15,96,56,70,56,0.9985
0,65,22,65,22,137,0,137,0.9973
-8,85,14,85,14,149,-8,149,0.9971
12,27,38,27,38,112,12,112,0.9947
920,63,980,63,980,85,920,85,0.9943
212,2,256,2,256,40,212,40,0.9929
50,-10,74,-10,74,73,50,73,0.9888
-12,95,12,95,12,153,-12,153,0.9880
50,156,88,156,88,257,50,257,0.9868
258,329,298,329,298,351,258,351,0.9809
-10,45,20,45,20,133,-10,133,0.9735
1094,684,1178,684,1178,704,1094,704,0.9629
-16,97,8,97,8,158,-16,158,0.9626
-36,105,2,105,2,174,-36,174,0.8798
-20,101,6,101,6,164,-20,164,0.8567
-32,104,0,104,0,171,-32,171,0.7817
26,-3,50,-3,50,92,26,92,0.6861
-14,37,14,37,14,131,-14,131,0.6247
