482,164,724,164,724,210,482,210,0.9999
700,194,812,194,812,231,700,231,0.9999
4,378,61,378,61,396,4,396,0.9997
290,0,486,0,486,50,290,50,0.9973
438,0,476,0,476,46,438,46,0.9000
535,111,819,185,804,240,521,166,0.9000
342,233,399,234,393,502,337,501,0.9000
286,273,297,274,293,340,282,339,0.9000
0,284,32,284,32,302,0,302,0.9000
426,309,468,310,465,482,423,481,0.9000
272,327,280,328,277,366,269,365,0.9000
144,338,178,338,178,358,144,358,0.9000
266,367,280,368,276,470,262,469,0.9000
281,367,293,368,289,468,277,467,0.9000
292,416,300,416,300,452,292,452,0.9000
28,432,42,432,42,442,28,442,0.9000
