509,199,649,193,650,222,510,228,1.0000
32,169,93,169,93,195,32,195,1.0000
177,158,265,168,259,205,172,195,0.9999
34,254,94,254,94,271,34,271,0.9999
580,295,660,295,660,317,580,317,0.9997
496,68,592,68,592,87,496,87,0.9982
1094,185,1134,185,1134,206,1094,206,0.9913
414,230,470,230,470,247,414,247,0.9057
1001,80,1073,18,1108,60,1036,121,0.9000
518,73,621,64,623,87,520,96,0.9000
1180,218,1240,211,1245,251,1184,257,0.9000
32,274,72,274,72,286,32,286,0.9000
522,306,653,290,656,319,526,335,0.9000
1200,330,1256,330,1256,362,1200,362,0.9000
