222,425,332,425,332,444,222,444,1.0000
244,176,356,176,356,201,244,201,1.0000
442,157,534,157,534,176,442,176,1.0000
186,192,248,192,248,212,186,212,1.0000
654,136,712,136,712,156,654,156,1.0000
272,250,514,250,514,295,272,295,1.0000
504,231,652,231,652,273,504,273,1.0000
367,176,697,135,700,162,371,204,0.9000
185,196,348,177,352,207,189,226,0.9000
347,227,564,204,569,248,352,271,0.9000
276,281,640,233,646,280,282,328,0.9000
442,374,486,374,486,406,442,406,0.9000
223,433,504,401,508,429,226,462,0.9000
