316,126,388,126,388,139,316,139,1.0000
214,131,292,131,292,151,214,151,1.0000
1003,122,1064,120,1065,134,1004,136,1.0000
936,163,1002,160,1003,184,937,187,1.0000
158,448,222,448,222,470,158,470,0.9998
416,113,494,113,494,128,416,128,0.9997
1176,89,1277,78,1279,98,1178,108,0.9000
1016,112,1046,112,1046,126,1016,126,0.9000
213,138,491,105,494,131,216,163,0.9000
1002,137,1061,132,1063,147,1004,152,0.9000
1018,150,1050,150,1050,162,1018,162,0.9000
150,252,208,252,208,274,150,274,0.9000
162,348,204,348,204,370,162,370,0.9000
