1018,0,1038,0,1038,12,1018,12,0.9000
1040,0,1062,0,1062,10,1040,10,0.9000
1070,0,1086,0,1086,8,1070,8,0.9000
1094,0,1118,0,1118,10,1094,10,0.9000
1020,164,1054,164,1054,178,1020,178,0.9000
1022,178,1074,178,1074,192,1022,192,0.9000
738,200,902,200,902,240,738,240,0.9000
186,236,272,245,269,275,183,265,0.9000
436,302,492,302,492,338,436,338,0.9000
114,312,134,312,134,328,114,328,0.9000
904,320,922,320,922,332,904,332,0.9000
744,332,758,332,758,344,744,344,0.9000
744,342,758,342,758,354,744,354,0.9000
744,348,784,348,784,362,744,362,0.9000
1026,352,1210,352,1210,408,1026,408,0.9000
1028,404,1210,404,1210,436,1028,436,0.9000
358,428,388,428,388,442,358,442,0.9000
166,617,336,624,335,639,165,631,0.9000
390,622,472,622,472,654,390,654,0.9000
