94,74,182,81,179,121,91,115,0.9000
224,88,362,100,359,140,221,127,0.9000
92,116,363,131,361,171,90,157,0.9000
90,188,182,188,182,204,90,204,0.9000
89,220,193,218,194,237,90,240,0.9000
88,253,225,247,226,278,90,284,0.9000
91,300,229,293,230,312,92,320,0.9000
90,336,235,322,237,343,92,357,0.9000
255,328,345,324,346,349,256,353,0.9000
296,368,371,357,373,372,298,383,0.9000
91,372,187,361,190,382,94,393,0.9000
256,406,363,388,365,404,258,421,0.9000
91,409,194,394,197,415,94,429,0.9000
95,446,193,430,196,449,98,465,0.9000
92,481,216,452,223,482,99,511,0.9000
96,529,150,515,155,533,101,547,0.9000
